,bids_price,bids_qty,asks_price,asks_qty
177,9473.03000000,0.29400000,9500.17000000,0.00121900
178,9473.00000000,0.04971300,9500.20000000,0.00883200
179,9472.98000000,0.01282900,9500.23000000,0.00999900
180,9472.91000000,0.01091400,9500.28000000,0.01077200
181,9472.84000000,0.01095100,9500.30000000,0.38550200
182,9472.72000000,0.00528300,9500.34000000,0.00134100
183,9472.70000000,0.00003300,9500.37000000,0.01272400
184,9472.51000000,0.00001600,9500.40000000,0.01280800
185,9472.49000000,0.00300000,9500.42000000,0.00191100
186,9472.44000000,0.00116700,9500.48000000,0.25000000
187,9472.43000000,0.00202200,9500.53000000,2.00000000
188,9472.38000000,0.00520000,9500.54000000,0.14640300
189,9472.17000000,0.00201800,9500.56000000,0.24000000
190,9472.15000000,14.51900000,9500.57000000,0.02010000
191,9472.04000000,0.00121900,9500.59000000,0.11091200
192,9472.02000000,0.00202700,9500.60000000,2.00000000
193,9472.00000000,0.03625500,9500.61000000,0.00263500
194,9471.90000000,0.00992200,9500.65000000,0.01172500
195,9471.77000000,0.01219100,9500.66000000,1.19539400
196,9471.55000000,0.01475200,9500.72000000,0.25000000
197,9471.43000000,0.00116200,9500.74000000,0.01017300
198,9471.35000000,0.01031300,9500.78000000,0.05492100
199,9471.24000000,0.25000000,9500.87000000,0.01749100
200,9471.10000000,0.30300000,9500.90000000,0.00883200
201,9470.85000000,0.25000000,9500.92000000,0.01160700
202,9470.79000000,0.02000000,9500.98000000,0.01335700
203,9470.70000000,0.02026000,9501.00000000,0.87967000
204,9470.59000000,0.02000000,9501.01000000,5.01833900
205,9470.58000000,0.00297000,9501.02000000,0.01086900
206,9470.51000000,0.11347900,9501.05000000,0.00111100
207,9470.50000000,0.05282600,9501.14000000,6.09600000
208,9470.42000000,0.00105600,9501.20000000,0.01067300
209,9470.37000000,0.00221700,9501.28000000,0.01106900
210,9470.34000000,0.25000000,9501.43000000,4.15436900
211,9470.19000000,0.01115700,9501.48000000,0.02418000
212,9470.05000000,0.02000000,9501.60000000,0.00712400
213,9470.01000000,0.15000000,9501.65000000,0.00116100
214,9470.00000000,0.75871300,9501.73000000,0.00290800
215,9469.96000000,0.01258700,9501.80000000,0.00122000
216,9469.64000000,0.00187900,9501.96000000,0.09566300
217,9469.61000000,0.01407500,9502.00000000,0.00170000
218,9469.60000000,0.01584000,9502.07000000,0.10046100
219,9469.47000000,0.00111100,9502.14000000,0.09565500
220,9469.15000000,0.02000000,9502.16000000,0.09603600
221,9469.01000000,0.01206000,9502.23000000,0.09597400
222,9469.00000000,2.03307700,9502.38000000,0.25308700
223,9468.95000000,0.25000000,9502.48000000,0.01322100
224,9468.84000000,0.05000000,9502.49000000,0.00220000
225,9468.77000000,0.01239900,9502.54000000,0.31570500
226,9468.68000000,0.39480000,9502.55000000,0.00203000
227,9468.57000000,0.43000000,9502.61000000,0.25000000
228,9468.42000000,0.00768900,9502.66000000,0.00147700
229,9468.36000000,0.01220700,9502.82000000,0.00579600
230,9468.30000000,0.01069800,9502.93000000,0.01102600
231,9468.27000000,0.09557000,9502.94000000,0.00411200
232,9468.19000000,0.00000900,9503.00000000,0.03610200
233,9468.00000000,0.00194300,9503.05000000,0.32006900
234,9467.72000000,0.02000000,9503.16000000,0.01379600
235,9467.66000000,0.25048300,9503.19000000,0.01000000
236,9467.59000000,0.02000000,9503.32000000,0.01267600
237,9467.56000000,0.01715600,9503.41000000,0.00626000
238,9467.46000000,0.00122000,9503.50000000,0.10000000
239,9467.28000000,0.02000000,9503.53000000,0.00110100
240,9467.16000000,0.10910000,9503.62000000,0.30000000
241,9467.03000000,0.05000000,9503.67000000,0.00115800
242,9466.99000000,0.00768100,9503.72000000,0.01364400
243,9466.95000000,0.01085800,9503.74000000,0.00202400
244,9466.77000000,0.02000000,9503.79000000,0.00187700
245,9466.72000000,0.01023100,9503.83000000,0.09628600
246,9466.50000000,0.01264800,9503.88000000,0.01306700
247,9465.97000000,0.01290300,9503.92000000,0.52623500
248,9465.94000000,0.35980800,9503.94000000,0.00203500
249,9465.84000000,0.00188000,9503.99000000,0.03581800
250,9465.71000000,0.00113500,9504.00000000,0.04893000
251,9465.43000000,0.00116300,9504.07000000,0.00515500
252,9465.30000000,0.00410000,9504.13000000,0.63313400
253,9465.23000000,0.00105700,9504.24000000,0.01181500
254,9465.14000000,4.31686000,9504.26000000,0.01077800
255,9465.00000000,2.88774600,9504.46000000,0.00167600
256,9464.87000000,0.09263400,9504.49000000,0.01030400
257,9464.28000000,0.05734700,9504.52000000,0.01197600
258,9464.11000000,0.01056500,9504.60000000,0.01098000
259,9464.10000000,0.00120000,9504.63000000,0.01312600
260,9464.08000000,0.01230600,9504.71000000,0.01054300
261,9464.05000000,0.00500000,9504.77000000,0.00121800
262,9464.00000000,0.35000000,9504.98000000,0.00199700
263,9463.79000000,0.01773800,9505.00000000,2.50462600
264,9463.78000000,0.01142300,9505.06000000,0.04610000
265,9463.15000000,0.00111100,9505.19000000,0.00783500
266,9463.14000000,0.21134600,9505.39000000,0.01051000
267,9463.13000000,0.01732900,9505.70000000,0.06546200
268,9463.00000000,0.90588200,9505.74000000,0.00225900
269,9462.96000000,0.01296700,9505.92000000,14.40000000
270,9462.92000000,0.01275800,9506.35000000,0.00201800
271,9462.88000000,0.00122000,9506.54000000,0.01238000
272,9462.71000000,0.01136100,9506.71000000,0.01245500
273,9462.51000000,0.01011800,9507.00000000,0.37798600
274,9462.27000000,0.01189900,9507.09000000,6.50400000
275,9462.23000000,0.02217600,9507.10000000,0.07238000
276,9462.06000000,0.00134200,9507.14000000,0.00135900
277,9462.05000000,0.00188100,9507.19000000,0.01148500
278,9462.00000000,0.06662600,9507.30000000,0.08800000
279,9461.68000000,0.00114800,9507.36000000,0.00111100
280,9461.53000000,0.00321700,9507.42000000,0.01364600
281,9461.37000000,0.15290700,9507.60000000,0.00187600
282,9461.11000000,0.00774300,9507.61000000,0.00239500
283,9461.00000000,0.05859700,9507.66000000,0.01577600
284,9460.97000000,0.00112300,9507.70000000,0.00180800
285,9460.90000000,0.00221900,9507.72000000,0.04064000
286,9460.85000000,0.05330900,9507.88000000,0.11900000
287,9460.80000000,0.07475900,9507.89000000,0.03155200
288,9460.70000000,0.01219400,9508.00000000,0.49957700
289,9460.67000000,0.00151500,9508.24000000,0.01093100
290,9460.61000000,0.00191200,9508.31000000,0.00220800
291,9460.60000000,0.08810000,9508.57000000,0.23052500
292,9460.49000000,0.00977000,9508.70000000,0.00728500
293,9460.48000000,0.00264200,9509.00000000,0.39904200
294,9460.38000000,0.00150300,9509.08000000,0.75790000
